City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
494,Sabha,LY,82.69,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
496,Touros,BR,88.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
499,Makakilo City,US,74.68,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
500,Aguas Formosas,BR,77.63,overcast clouds,-17.0822,-40.9358,HAVAY PALACE HOTEL
501,Atambua,ID,73.35,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
504,Cayenne,GF,89.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
506,Totness,SR,87.94,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
508,Sandy Springs,US,80.78,scattered clouds,33.9243,-84.3785,Sheraton Atlanta Perimeter North Hotel
509,Arlit,NE,90.57,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
510,Frontera,MX,96.12,few clouds,26.9333,-101.45,Casagrande Hotel
511,Manacapuru,BR,89.37,overcast clouds,-3.2997,-60.6206,Novo Hotel
517,Coria,ES,73.45,overcast clouds,39.9879,-6.5377,Hotel San Cristóbal
518,Mossendjo,CG,72.07,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
519,Pundaguitan,PH,84.18,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
522,Sinnamary,GF,84.33,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
523,Lhokseumawe,ID,78.66,broken clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
531,Buraydah,SA,84.29,clear sky,26.326,43.975,فندق راحة السلام
532,Anloga,GH,80.46,scattered clouds,5.7947,0.8973,Pin Drop Hotel
534,Tamiahua,MX,84.61,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
535,Kahului,US,75.85,light rain,20.8947,-156.47,Maui Seaside Hotel
536,Acarau,BR,86.23,scattered clouds,-2.8856,-40.12,castelo pizzaria
537,Kisiwani,TZ,71.76,overcast clouds,-4.1333,37.95,Hashimu Kisiwani
538,Cockburn Town,TC,83.53,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
542,Saint-Joseph,RE,71.96,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
543,Kantunilkin,MX,87.64,scattered clouds,21.0917,-87.45,Posada Paraiso
545,Namatanai,PG,79.11,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
546,Meulaboh,ID,77.23,overcast clouds,4.1363,96.1285,Kost Pria
547,Serpa,PT,77.56,broken clouds,37.9458,-7.5975,Casa do Caniço
548,Caravelas,BR,76.14,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
549,Nishihara,JP,81.68,light rain,26.1842,127.7558,Minshuku Agaihama
550,Finschhafen,PG,77.05,overcast clouds,-6.6024,147.8681,Cossam Guest House
551,Barcelos,PT,74.84,broken clouds,41.5388,-8.6151,Hotel Do Terço
552,Mogadishu,SO,78.71,few clouds,2.0371,45.3438,Hotel Juba
555,Bathsheba,BB,82.85,overcast clouds,13.2167,-59.5167,Atlantis Hotel
558,Alugan,PH,80.58,overcast clouds,12.2188,125.4808,JM Lodge
559,Osmena,PH,79.59,heavy intensity rain,10.5208,119.9258,Arjemarkyza Lodge
561,Santiago Del Estero,AR,74.89,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
563,Dwarka,IN,82.58,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
565,Saint Anthony,US,72.1,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
567,Jati,PK,80.98,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
568,Teguise,ES,71.82,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
570,Moerai,PF,73.87,overcast clouds,-22.4333,-151.3333,Le Manotel
573,Matara,LK,77.59,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
575,Abu Dhabi,AE,88.5,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
576,Rabo De Peixe,PT,71.11,scattered clouds,37.8,-25.5833,Quinta das Giestas
578,Itarema,BR,85.41,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
581,Illapel,CL,72.36,clear sky,-31.6308,-71.1653,Hotel Londres
582,Saurimo,AO,83.8,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
591,Alofi,NU,77.47,overcast clouds,-19.0595,-169.9187,Taloa Heights
593,Karoi,ZW,80.92,broken clouds,-16.8099,29.6925,Chikangwe Guest houses
594,Paredon,MX,85.75,scattered clouds,16.0333,-93.8667,Hotel Principal Paredon
596,Kasama,ZM,77.76,overcast clouds,-10.2129,31.1808,Kalebalika Cottages
597,Waingapu,ID,76.05,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
599,Dakar,SN,86.88,few clouds,14.6937,-17.4441,Redface Studios Meublés
602,Suratgarh,IN,89.42,clear sky,29.3167,73.9,Maharaja Hotel
603,Ocos,GT,93.72,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
606,Sur,OM,82.85,clear sky,22.5667,59.5289,Sur Plaza Hotel
607,Tando Muhammad Khan,PK,79.61,clear sky,25.123,68.5358,Rehmat Mobile Shop
608,Santiago De Las Vegas,CU,85.71,few clouds,22.97,-82.3869,Bella Vista Miramar
609,Tiquisio,CO,84.42,overcast clouds,8.5597,-74.2669,Luis Florez
610,Maningrida,AU,76.73,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
612,Dosso,NE,91.65,overcast clouds,13.049,3.1937,Hotel Toubal
613,Mahebourg,MU,71.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
619,Hargeysa,SO,74.57,light rain,9.56,44.065,City Center Hotel
620,Champerico,GT,93.76,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
622,Poum,NC,73.08,clear sky,-20.2333,164.0167,Gîte kajeon
623,Springfield,US,83.19,clear sky,37.2153,-93.2982,University Plaza Hotel & Convention Center
625,Excelsior Springs,US,82.99,clear sky,39.3392,-94.2261,The Elms Hotel & Spa
626,Toro,CO,80.76,broken clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
628,Sao Miguel Do Araguaia,BR,97.99,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
629,Ratnagiri,IN,78.46,heavy intensity rain,16.9833,73.3,Hotel Landmark
630,Esperanza,DO,91.29,scattered clouds,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
631,Bud,US,83.3,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
636,Tabuk,PH,75.22,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
637,Kismayo,SO,78.21,broken clouds,-0.3582,42.5454,Agan-Hotel
639,Bandarbeyla,SO,80.15,broken clouds,9.4942,50.8122,JABIR HOTEL
642,Manzanillo,CU,90.07,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
644,Lexington Park,US,77.74,overcast clouds,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
647,Santa Rosa,PH,82.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
648,Jinhua,CN,73.15,overcast clouds,29.1078,119.6547,Guiyun Hotel
649,Tecoanapa,MX,85.78,overcast clouds,16.5167,-98.75,Hotel Manglares
653,Dingalan,PH,78.98,broken clouds,15.3897,121.3929,Fil Dane Inn
654,Sakakah,SA,84.18,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
655,Celestun,MX,87.06,overcast clouds,20.8667,-90.4,Posada Lilia
658,Ukiah,US,74.03,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
661,Japura,ID,75.4,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
663,Port Keats,AU,80.78,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
666,Balingasay,PH,83.66,scattered clouds,16.3573,119.8564,Rock Garden Resort
667,Sturgis,US,80.38,clear sky,41.7992,-85.4192,Best Western Plus Howe Inn
671,Sri Aman,MY,75.58,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
675,Porto Walter,BR,96.76,broken clouds,-8.2686,-72.7439,Secretaria de saúde
679,Valparaiso,CL,71.83,few clouds,-33.0393,-71.6273,Hotel Ultramar
680,Kandrian,PG,76.39,light rain,-6.2167,149.55,Kandrian Station
681,Kirakira,SB,77.36,overcast clouds,-10.4544,161.9205,SanBiz Lodge
683,Limon,CR,84.29,few clouds,10.0,-83.0333,Hotel Playa Bonita
684,West Des Moines,US,72.28,clear sky,41.572,-93.7453,Sheraton West Des Moines Hotel
685,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
687,Honiara,SB,78.42,broken clouds,-9.4333,159.95,Heritage Park Hotel
690,Ofaqim,IL,75.74,clear sky,31.3141,34.6203,The Negev Experience
691,Jibuti,DJ,82.35,broken clouds,11.5,42.5,Orchid Main Camp Goubet
693,Mariara,VE,83.88,scattered clouds,10.2964,-67.7181,El Carmen
