City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Huejuquilla El Alto,MX,22.6,-103.8667,77.34,48,9,5.35,clear sky
162,Simpang,ID,-1.2667,104.0833,75.04,95,88,2.26,overcast clouds
163,Diamantino,BR,-14.4086,-56.4461,91.56,41,99,2.84,overcast clouds
164,Inirida,CO,3.8653,-67.9239,91.51,52,97,3.02,overcast clouds
165,Grindavik,IS,63.8424,-22.4338,42.75,87,75,9.22,broken clouds
166,Horta,PT,38.5333,-28.6333,71.24,94,75,12.66,broken clouds
167,Upata,VE,8.0086,-62.3989,90.19,58,72,4.32,broken clouds
168,Ugoofaaru,MV,5.6667,73.0,82.96,78,98,16.73,overcast clouds
169,Esperance,AU,-33.8667,121.9,51.64,54,91,17.83,overcast clouds
170,Tasiilaq,GL,65.6145,-37.6368,26.69,67,0,4.18,clear sky
171,Imbituba,BR,-28.24,-48.6703,69.69,73,91,12.48,overcast clouds
172,Rundu,NA,-17.9333,19.7667,80.85,8,0,8.14,clear sky
173,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,100,75,2.24,light intensity shower rain
174,Nauta,PE,-4.5061,-73.5757,87.96,57,80,1.05,broken clouds
175,Bay Roberts,CA,47.5999,-53.2648,49.03,64,47,8.01,scattered clouds
176,Bubaque,GW,11.2833,-15.8333,82.63,75,97,9.75,overcast clouds
177,Yeppoon,AU,-23.1333,150.7333,62.38,80,1,6.53,clear sky
178,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,94,90,18.41,light intensity drizzle
179,Mount Isa,AU,-20.7333,139.5,69.57,94,90,1.14,overcast clouds
180,Porto-Vecchio,FR,41.591,9.2795,65.66,67,20,3.44,few clouds
181,Bosaso,SO,11.2842,49.1816,86.63,64,83,1.99,broken clouds
182,Zile,TR,40.3031,35.8864,58.32,67,0,4.18,clear sky
183,Batagay,RU,67.6333,134.6333,30.52,75,100,6.06,overcast clouds
184,Do Gonbadan,IR,30.3586,50.7981,75.63,10,0,2.28,clear sky
185,Darab,IR,28.7519,54.5444,77.05,22,6,5.95,clear sky
186,Furstenwalde,DE,52.3667,14.0667,55.0,56,6,6.38,clear sky
187,Jiayuguan,CN,39.8167,98.3,41.31,21,0,5.19,clear sky
188,New London,US,41.4834,-72.0662,64.9,79,90,3.0,light rain
189,Tuni,IN,17.35,82.55,79.81,82,10,2.62,clear sky
190,Broome,US,42.2506,-75.833,69.19,68,90,1.01,overcast clouds
191,Dhangadhi,NP,28.7079,80.5961,74.37,74,0,3.4,clear sky
192,Terra Roxa,BR,-23.8557,-50.0314,60.46,92,100,8.5,light rain
193,Yakeshi,CN,49.2833,120.7333,35.83,79,2,11.52,clear sky
194,Yellowknife,CA,62.456,-114.3525,38.41,99,100,13.0,overcast clouds
195,Xuddur,SO,4.1213,43.8894,81.57,53,95,17.38,overcast clouds
196,Hami,CN,42.8,93.45,50.2,23,0,6.13,clear sky
197,Uusikaupunki,FI,60.8004,21.4084,52.32,82,100,19.28,overcast clouds
198,Kontagora,NG,10.3999,5.4695,81.07,64,92,4.34,overcast clouds
199,Antofagasta,CL,-23.65,-70.4,67.21,60,33,9.26,scattered clouds
200,Palmer,US,42.1584,-72.3287,64.49,70,100,1.01,overcast clouds
201,Isangel,VU,-19.55,169.2667,70.25,79,31,11.34,scattered clouds
202,Pizarro,CO,4.9533,-77.366,81.61,76,72,9.48,broken clouds
203,Mantua,IT,45.1667,10.7833,58.73,71,0,0.51,clear sky
204,Kampot,KH,10.6167,104.1833,82.45,84,100,9.15,overcast clouds
205,Airai,TL,-8.9266,125.4092,60.67,69,100,0.96,overcast clouds
206,Marsa Matruh,EG,31.3525,27.2453,74.79,69,0,10.11,clear sky
207,Lazaro Cardenas,MX,17.9583,-102.2,85.17,67,96,5.12,overcast clouds
208,Kodiak,US,57.79,-152.4072,40.14,69,54,5.97,broken clouds
209,Rudnogorsk,RU,57.2639,103.7519,37.27,97,100,9.53,light rain
210,Christchurch,NZ,-43.5333,172.6333,50.92,89,33,4.0,scattered clouds
211,Albury,AU,-36.0833,146.9167,44.11,80,79,1.01,broken clouds
212,Cassilandia,BR,-19.1133,-51.7342,77.02,81,98,7.47,moderate rain
213,Aklavik,CA,68.2191,-135.0107,28.47,83,100,9.93,overcast clouds
214,Severo-Kurilsk,RU,50.6789,156.125,47.7,92,100,24.92,moderate rain
215,Vila Velha,BR,-20.3297,-40.2925,64.94,91,100,7.11,overcast clouds
216,Husavik,IS,66.0449,-17.3389,35.65,96,99,2.35,overcast clouds
217,Lorengau,PG,-2.0226,147.2712,81.05,77,96,4.97,overcast clouds
218,Umtata,ZA,-31.5889,28.7844,49.6,86,16,5.68,few clouds
219,Bitung,ID,1.4451,125.1824,77.85,82,98,4.83,overcast clouds
220,Tessalit,ML,20.1986,1.0114,92.86,8,30,7.43,scattered clouds
221,Nieves,PH,15.3274,120.9485,75.43,96,59,2.17,broken clouds
222,Batticaloa,LK,7.7102,81.6924,81.73,73,100,5.35,overcast clouds
223,Banjar,ID,-8.19,114.9675,76.91,88,77,6.8,broken clouds
224,Ambulu,ID,-8.345,113.6058,75.87,83,92,2.13,overcast clouds
225,Kerema,PG,-7.9631,145.7785,76.1,93,100,15.5,overcast clouds
226,Verkhnyaya Inta,RU,65.9811,60.3094,28.67,77,63,7.18,broken clouds
227,Hofn,IS,64.2539,-15.2082,43.09,88,98,9.46,overcast clouds
228,La Ronge,CA,55.1001,-105.2842,49.75,43,100,5.21,overcast clouds
229,Lucapa,AO,-8.4192,20.7447,79.5,37,40,3.98,scattered clouds
230,Wanning,CN,18.8003,110.3967,79.16,88,41,2.86,scattered clouds
